iter	Passed	Remaining
0	1	1023
1	1	851
2	2	788
3	3	747
4	3	746
5	4	728
6	5	718
7	5	717
8	6	716
9	7	704
10	7	697
11	8	690
12	8	681
13	9	679
14	10	675
15	10	673
16	11	668
17	12	664
18	12	661
19	13	658
20	14	657
21	14	655
22	15	652
23	15	650
24	16	646
25	17	642
26	17	642
27	18	639
28	19	638
29	19	636
30	20	636
31	21	638
32	21	639
33	22	639
34	23	638
35	23	636
36	24	633
37	24	631
38	25	631
39	26	629
40	26	629
41	27	628
42	28	627
43	28	626
44	29	625
45	30	624
46	30	623
47	31	621
48	32	630
49	33	634
50	34	634
51	34	634
52	35	634
53	36	634
54	36	635
55	37	635
56	38	634
57	39	635
58	39	634
59	40	634
60	41	633
61	41	633
62	42	632
63	43	632
64	43	631
65	44	630
66	45	634
67	46	634
68	46	633
69	47	632
70	48	632
71	49	634
72	50	635
73	50	634
74	51	634
75	52	634
76	52	633
77	53	634
78	54	635
79	55	638
80	56	637
81	56	637
82	57	637
83	58	636
84	59	635
85	59	634
86	60	633
87	61	633
88	61	630
89	62	630
90	63	629
91	63	629
92	64	628
93	65	628
94	65	627
95	66	626
96	67	624
97	67	621
98	68	621
99	69	621
100	69	621
101	70	620
102	71	620
103	72	620
104	72	619
105	73	619
106	74	618
107	74	619
108	75	618
109	76	616
110	77	617
111	77	618
112	78	617
113	79	615
114	79	615
115	80	614
116	81	613
117	82	613
118	82	613
119	83	612
120	84	611
121	84	611
122	85	610
123	86	609
124	86	608
125	87	607
126	88	606
127	88	605
128	89	604
129	90	603
130	90	602
131	91	603
132	92	603
133	93	602
134	94	602
135	94	601
136	95	601
137	96	600
138	96	599
139	97	598
140	98	597
141	98	596
142	99	595
143	100	594
144	100	593
145	101	591
146	101	590
147	102	589
148	102	588
149	103	587
150	104	586
151	104	585
152	105	584
153	106	583
154	107	583
155	107	583
156	108	582
157	109	582
158	109	580
159	110	579
160	111	578
161	111	577
162	112	577
163	113	576
164	113	575
165	114	574
166	114	573
167	115	572
168	116	571
169	116	569
170	117	569
171	118	568
172	118	566
173	119	565
174	119	564
175	120	563
176	121	563
177	121	562
178	122	561
179	123	560
180	123	559
181	124	559
182	125	558
183	125	558
184	126	557
185	127	556
186	127	555
187	128	554
188	129	553
189	129	553
190	130	552
191	130	551
192	131	550
193	132	549
194	133	549
195	133	547
196	134	546
197	134	545
198	135	545
199	136	544
200	136	544
201	137	543
202	138	542
203	138	541
204	139	541
205	140	540
206	140	539
207	141	539
208	142	538
209	143	538
210	143	537
211	144	537
212	145	536
213	145	535
214	146	534
215	147	534
216	147	533
217	148	532
218	148	531
219	149	530
220	150	529
221	151	529
222	151	528
223	152	527
224	152	526
225	153	526
226	154	525
227	155	525
228	155	524
229	156	523
230	157	523
231	157	522
232	158	521
233	159	520
234	159	520
235	160	519
236	161	519
237	161	518
238	162	517
239	163	516
240	163	516
241	164	515
242	165	515
